auteur_id;nom;nationalite
0;Jules Verne;Français
1;Agatha Christie;Britannique
2;George Orwell;Britannique
3;Gabriel García Márquez;Colombien
4;Haruki Murakami;Japonais
5;Virginia Woolf;Britannique
6;Ernest Hemingway;Américain
7;Toni Morrison;Américaine
8;Franz Kafka;Tchèque
9;Albert Camus;Français
10;Milan Kundera;Tchèque
11;Chinua Achebe;Nigérian
12;Isabel Allende;Chilienne
13;Paulo Coelho;Brésilien
14;Leo Tolstoy;Russe
15;Fyodor Dostoevsky;Russe
16;Jane Austen;Britannique
17;Victor Hugo;Français
18;Emily Brontë;Britannique
19;Charles Dickens;Britannique
20;Hermann Hesse;Allemand
21;Marcel Proust;Français
22;Italo Calvino;Italien
23;José Saramago;Portugais
24;Yukio Mishima;Japonais
25;Oscar Wilde;Irlandais
26;James Joyce;Irlandais
27;Kazuo Ishiguro;Britannique
28;Marguerite Yourcenar;Française
29;J.R.R. Tolkien;Britannique
30;Mary Shelley;Britannique
31;Edgar Allan Poe;Américain
32;Mark Twain;Américain
33;H.P. Lovecraft;Américain
34;Bram Stoker;Irlandais
35;Alexandre Dumas;Français
36;Gustave Flaubert;Français
37;Honoré de Balzac;Français
38;Simone de Beauvoir;Française
39;Sylvia Plath;Américaine
40;Truman Capote;Américain
41;Kurt Vonnegut;Américain
42;Philip Roth;Américain
43;Salman Rushdie;Britannique
44;Umberto Eco;Italien
45;Elfriede Jelinek;Autrichienne
46;Günter Grass;Allemand
47;Orhan Pamuk;Turc
48;Naguib Mahfouz;Égyptien
49;Wole Soyinka;Nigérian
50;Chimamanda Ngozi Adichie;Nigériane